"Abbreviation","Celltypes"
"B_lymph","B Lymphocyte"
"CD_IC","Collecting Duct Intercalated Cell"
"CD_PC","Collecting Duct Principal Cell"
"CD_Trans","Collecting Duct Transitional Cell"
"DCT","Distal Convoluted Tubule"
"Fib","Fibroblast"
"LOH","Ascending Loop Of Henle"
"Macro","Macrophage"
"Neutro","Neutrophil"
"NK","Natural Killer Cell"
"Podo","Podocyte"
"PT","Proximal Tubule"
"T_lymph","T Lymphocyte"
