"Gene.names","Podo","PT","LOH","DCT","CD_PC","CD_IC","CD_Trans","Fib","Macro","Neutro","B_lymph","T_lymph","NK"
"Rp1",0,0.01,0,0.04,0,7.97,5.15,0,0,0,0,0,0
"Sox17",0,0.14,0,0.08,0.37,0,1.72,0,6.02,0,0,0.36,0
"Mrpl15",45.51,47.69,72.77,48.67,42.83,66.75,66.98,71.25,38.11,20.16,58.01,56.46,50.91
"Lypla1",101.14,172.36,87.58,86.32,70.66,89.05,103.05,67.02,62.17,100.81,53.18,68.18,56.41
"Gm37988",0,0.3,0,0.12,0,0.27,0,1.21,0,0,0,0,0
"Tcea1",60.68,44.64,53.37,44.63,70.66,71.08,79,68.23,48.13,6.72,64.46,59.66,50.91
"Atp6v1h",15.17,38.32,56.94,54.29,72.49,209.58,224.99,35.02,52.14,26.88,35.45,34.8,39.9
"Rb1cc1",106.19,53.47,68.43,62.73,62.97,57.97,49.81,47.1,56.15,47.05,59.63,53.62,56.41
"4732440D04Rik",15.17,22.38,37.02,31.63,19.4,20.67,13.74,3.62,16.04,6.72,6.45,8.88,12.38
"Pcmtd1",80.91,70.16,94.48,78.2,133.63,182.01,230.14,42.87,64.18,20.16,72.52,61.79,53.66
"Gm26901",5.06,0.67,1.02,0.69,0.37,1.49,1.72,0,0,0,0,0.36,1.38
"Rrs1",25.28,27.39,26.56,20.44,19.4,25.13,29.2,24.76,20.06,6.72,17.73,25.92,27.52
"Adhfe1",50.57,144.03,54.9,56.27,31.85,44.86,20.61,24.15,40.11,67.21,16.11,32.31,17.89
"Mybl1",0,0.46,0,0.36,1.83,1.35,0,0,0,0,0,0.71,1.38
"Vcpip1",35.4,19.08,21.19,16.72,20.87,29.73,32.63,28.98,22.06,13.44,22.56,19.53,20.64
"1700034P13Rik",0,3.67,0.77,0.57,0.37,0,0,0,4.01,0,0,1.42,0
"Sgk3",35.4,23.27,14.81,13.94,10.62,18.24,22.33,71.85,30.08,20.16,17.73,9.23,4.13
"Mcmdc2",0,1.83,0.77,0.81,0.37,0.41,0,1.81,0,0,3.22,0.36,0
"Snhg6",35.4,65.27,49.54,35.38,35.88,32.7,24.04,43.47,60.17,26.88,35.45,35.16,39.9
"Tcf24",0,6,11.23,3.55,2.56,2.57,5.15,1.81,4.01,6.72,0,1.78,1.38
"Ppp1r42",0,0.63,0.77,0.4,0,1.08,1.72,0,0,13.44,0,0.36,0
"Cops5",40.45,38.95,42.13,37.24,35.15,89.05,77.29,34.42,32.09,26.88,51.57,32.67,49.53
"Cspp1",25.28,77.53,64.35,58.29,69.19,82.97,68.7,32,46.13,80.65,32.23,39.77,55.03
"Arfgef1",20.23,59.3,94.48,81.51,108.73,95.13,113.35,51.32,84.23,60.49,67.68,47.94,52.28
"Prex2",0,4.79,1.02,0.36,0.73,0,1.72,0,2.01,0,0,1.42,0
"Sulf1",80.91,0.01,0,0,0,0,0,0,0,0,0,0.36,0
"Ncoa2",35.4,29.45,22.73,22.7,28.56,30.54,37.78,30.79,34.09,33.6,25.78,31.6,23.39
"Tram1",80.91,63.12,77.11,74.97,96.29,68.91,103.05,114.12,74.2,94.09,217.55,105.47,165.1
"Lactb2",131.48,339.08,52.86,78.56,46.86,66.08,30.91,62.79,80.22,80.65,46.73,57.88,49.53
"Xkr9",0,0.53,0,0.08,0,0,0,0,0,0,0,0,1.38
"Eya1",15.17,0.01,0,0.08,0,0,0,1.21,0,0,1.61,0,1.38
"Terf1",20.23,10.89,15.32,9.33,19.4,11.89,13.74,13.89,14.04,26.88,16.11,23.44,15.13
"Sbspon",0,0.01,0.51,0.16,23.8,0.14,5.15,0,0,0,0,0,0
"4930444P10Rik",0,0.03,2.3,0.08,2.56,0.27,5.15,0,0,0,0,0,0
"Rpl7",819.21,930.78,996.08,497,898.78,590.63,467.16,1883.82,1219.36,766.18,1817.77,2306.39,1967.49
"Rdh10",5.06,24.65,30.39,15.63,27.82,10.81,18.89,11.47,10.03,6.72,8.06,9.23,8.26
"Stau2",10.11,13.15,25.28,22.66,27.09,32.84,46.37,3.02,18.05,6.72,9.67,3.55,1.38
"Ube2w",30.34,41.41,37.02,25.69,30.02,41.75,34.35,38.04,36.1,20.16,33.84,36.58,33.02
"Tceb1",187.1,107.7,136.61,111.28,114.96,156.2,97.9,118.34,126.35,47.05,128.92,117.89,132.08
"D030040B21Rik",0,0.06,0.77,0.08,0,0,0,0,0,0,0,0,0
"Tmem70",40.45,50.11,53.62,39.91,46.5,49.46,42.94,31.4,44.12,26.88,27.4,30.89,41.28
"Ly96",45.51,11.58,4.09,3.35,6.22,8.24,3.43,44.08,46.13,26.88,38.68,6.04,8.26
"Jph1",5.06,0.69,1.02,0.69,0.37,1.49,3.43,0,0,0,0,0,0
"Crispld1",0,0.01,0,0.04,0,0,1.72,0,0,0,0,0,0
"Tfap2b",15.17,2.52,231.85,104.25,172.07,24.59,115.07,13.28,10.03,6.72,8.06,6.39,9.63
"Pkhd1",5.06,56.55,138.14,97.67,137.66,39.73,104.77,13.28,20.06,40.33,9.67,14.56,13.76
"Il17f",0,0.18,0,0,0,0,0,0,0,0,1.61,0,0
"Mcm3",5.06,0.79,0.51,0.53,1.83,1.08,0,5.43,8.02,0,17.73,10.65,24.77
"Paqr8",0,0.01,0.26,0.57,0.73,3.11,8.59,1.21,2.01,0,0,0.71,0
"Efhc1",0,0.03,0.26,0,0.37,0.41,0,0,0,0,0,0,0
"Tram2",35.4,2,2.04,2.02,2.2,7.3,6.87,9.06,8.02,6.72,80.57,2.13,1.38
"Tmem14a",20.23,8.85,11.75,9.01,12.45,16.89,12.02,3.02,4.01,13.44,4.83,3.2,8.26
"Gsta3",15.17,62.62,18.9,11.43,64.43,40.4,70.42,9.66,34.09,26.88,3.22,11.01,8.26
"Khdc1a",0,0,0,0,0,0,0,0,0,0,0,0,15.13
"Kcnq5",0,0,0,0,0,0.14,0,0,0,6.72,4.83,2.49,1.38
"Gm29107",20.23,7.31,15.83,9.73,11.72,11.76,17.17,3.02,4.01,0,0,0.71,2.75
"Ogfrl1",20.23,5.96,34.22,11.39,12.81,14.32,18.89,71.85,64.18,127.7,11.28,5.33,9.63
"B3gat2",10.11,49.65,5.62,7.8,2.93,4.73,3.43,7.85,14.04,6.72,8.06,6.75,6.88
"Smap1",101.14,80.15,54.13,46.82,58.58,82.02,91.03,79.1,72.2,53.77,101.52,119.67,136.21
"Sdhaf4",116.31,76.7,80.18,67.7,69.19,83.91,77.29,54.94,44.12,33.6,49.96,46.87,61.91
"Fam135a",10.11,15.91,23.24,14.22,11.72,26.62,37.78,3.62,8.02,6.72,3.22,2.49,5.5
"Col19a1",0,0.69,0.26,0.16,0,0,0,0,0,0,1.61,0.36,0
"Lmbrd1",50.57,27.19,57.71,41.44,48.33,80.13,109.92,35.62,36.1,20.16,46.73,20.6,24.77
"Gm5524",0,7.48,5.11,1.01,1.1,1.76,0,0,2.01,0,0,1.07,1.38
"Phf3",70.8,48.66,59.24,48.71,60.77,62.16,63.55,61.59,66.18,33.6,67.68,74.93,68.79
"Ptp4a1",50.57,45.68,52.86,42.13,83.84,48.1,61.83,71.85,26.07,161.3,43.51,41.19,52.28
"Khdrbs2",0,0.08,2.55,0,0,0,0,0,0,0,0,0,0
"Prim2",5.06,2.4,1.02,1.7,1.46,2.03,0,4.23,8.02,0,6.45,3.91,12.38
"Rab23",5.06,14.35,8.43,6.54,10.62,7.43,6.87,3.02,8.02,6.72,9.67,4.62,6.88
"Bag2",15.17,11.31,14.04,18.14,30.75,35.13,41.22,6.64,10.03,0,9.67,1.78,1.38
"Zfp451",40.45,17.21,13.79,17.53,28.92,21.08,27.48,25.36,16.04,13.44,19.34,14.56,19.26
"Bend6",0,0.01,0,0,0,0,0,0.6,16.04,0,1.61,0,0
"Dst",151.71,50.29,360.8,186.98,127.77,190.39,291.97,22.94,78.22,33.6,16.11,18.47,23.39
"Gm37233",0,0.13,0.26,0,0,0,0,0,2.01,0,0,0,1.38
"Ccdc115",25.28,13.43,19.66,14.99,18.31,14.19,20.61,40.45,18.05,13.44,32.23,38,48.16
"Imp4",50.57,21.88,25.02,21,26.36,25.94,27.48,37.43,44.12,13.44,29.01,39.06,52.28
"Ptpn18",0,2.46,98.05,57.16,83.11,62.56,65.26,448.62,365.01,181.46,269.12,677.18,645.28
"Arhgef4",0,0.25,0.26,0.32,6.22,0.41,1.72,2.42,0,0,0,3.91,6.88
"Gm38336",0,0.35,0.26,0.2,1.1,0.14,0,0.6,0,0,0,0.36,1.38
"Fam168b",35.4,35.64,34.73,33.41,44.66,48.78,60.11,32.6,42.12,60.49,43.51,47.23,34.4
"Plekhb2",45.51,139.28,61.28,78.04,90.79,126.34,178.62,44.68,74.2,53.77,40.29,46.16,35.77
"Hs6st1",5.06,29.21,44.43,22.01,33.68,28.38,51.52,12.08,12.03,13.44,8.06,8.52,4.13
"Uggt1",45.51,16.85,19.92,21.17,27.46,27.84,44.65,32,22.06,0,20.95,23.08,27.52
"Neurl3",0,0.24,1.28,0.2,8.79,2.03,3.43,57.36,76.21,60.49,25.78,15.98,34.4
"Arid5a",5.06,0.8,1.02,0.69,0,0.27,1.72,18.72,8.02,13.44,17.73,28.05,22.01
"4930403P22Rik",0,0.53,0.26,0.2,0.73,0.41,0,0,2.01,0,1.61,1.07,2.75
"Kansl3",55.63,56.63,47.24,43.14,46.5,45.94,41.22,27.77,32.09,40.33,27.4,31.6,28.89
"Lman2l",15.17,37.7,28.85,30.82,35.88,37.29,48.09,38.04,50.14,13.44,9.67,20.95,17.89
"Cnnm4",0,7.32,6.89,5.61,9.88,10.27,13.74,13.28,4.01,6.72,3.22,2.84,6.88
"Cnnm3",5.06,11.58,17.36,17.41,16.11,16.76,29.2,13.28,10.03,20.16,8.06,13.49,5.5
"Ankrd23",0,0.15,1.02,0.24,0.37,0.41,0,0,0,0,0,0.71,2.75
"Ankrd39",30.34,12.03,21.45,17.45,15.74,12.57,8.59,10.87,18.05,6.72,14.5,26.99,19.26
"Sema4c",0,0.1,0,0.97,0.73,1.89,1.72,0.6,14.04,0,1.61,2.49,2.75
"Fam178b",0,0,0,0.36,0,0,0,0,2.01,0,0,0,0
"Cox5b",900.12,967.37,1840.75,1781.83,1171.17,1750,1386.02,577.83,742.05,934.2,607.53,487.56,637.03
"Actr1b",30.34,46.74,51.07,51.91,55.28,52.7,63.55,24.15,22.06,13.44,12.89,26.28,38.52
"Zap70",0,0.04,0,0.16,0.73,0.14,0,1.21,2.01,0,9.67,76.35,74.3
"Tmem131",10.11,13.03,27.58,27.67,32.22,20.81,30.91,42.87,18.05,20.16,11.28,16.69,12.38
"Inpp4a",45.51,5.45,7.4,6.3,5.49,7.84,13.74,21.74,22.06,6.72,8.06,15.62,12.38
"Coa5",55.63,48.97,51.58,50.05,51.99,64.18,97.9,46.49,30.08,6.72,30.62,35.16,38.52
"Unc50",116.31,27.77,39.07,34.25,49.42,58.78,44.65,51.93,44.12,26.88,61.24,41.9,49.53
"Mgat4a",50.57,5.69,14.81,1.58,8.42,6.76,6.87,10.87,22.06,6.72,6.45,11.72,8.26
"2010300C02Rik",0,0.34,0.26,0.12,1.83,0,1.72,0.6,0,0,0,2.49,2.75
"Tsga10",5.06,4.06,5.62,4.12,4.03,2.43,8.59,7.25,8.02,0,0,3.55,6.88
"Lipt1",15.17,2.54,4.34,3.19,1.1,2.7,0,0.6,4.01,6.72,3.22,1.07,0
"Mitd1",40.45,12.84,15.07,11.07,17.94,20.13,15.46,36.23,28.08,20.16,27.4,83.8,33.02
"Mrpl30",197.22,263.41,239.25,224.18,181.22,208.36,139.12,233.67,148.41,194.91,191.77,186.07,191.25
"Txndc9",75.85,42.83,52.6,38.41,50.52,67.43,54.96,74.87,82.23,40.33,48.34,63.21,67.42
"Eif5b",232.61,144.34,166.23,130.35,193.3,167.55,175.18,178.72,162.45,53.77,299.74,174,206.38
"Rev1",20.23,20.64,17.11,14.18,14.28,16.21,15.46,9.66,14.04,13.44,8.06,14.2,6.88
"Aff3",0,0.03,0.51,0.04,0,0,0,1.81,0,0,9.67,6.04,2.75
"Gm16152",0,0,0,0,0,0,0,0,0,0,22.56,3.91,2.75
"Chst10",0,0.04,0,0.04,0.37,0,1.72,1.21,0,0,1.61,7.81,0
"Pdcl3",70.8,23.13,37.79,27.75,50.52,41.89,65.26,38.04,44.12,33.6,27.4,41.9,55.03
"Npas2",0,0.91,0.77,0.44,0.73,0.27,0,0,0,0,0,0,0
"Rpl31",1001.25,1147.9,1061.45,743.84,1043.76,842.91,664.67,2291.38,1219.36,732.58,2190.02,2553.9,1607.01
"Tbc1d8",0,1.04,5.11,2.54,2.56,1.76,1.72,36.23,14.04,6.72,0,0.71,0
"Cnot11",20.23,16.93,20.17,13.9,15.38,16.35,8.59,15.09,10.03,0,22.56,23.08,23.39
"Rnf149",10.11,49.66,79.67,58.49,79.81,78.1,130.53,164.23,106.29,221.79,19.34,24.86,27.52
"Map4k4",15.17,6.72,13.79,8.68,12.45,16.21,27.48,56.76,24.07,20.16,32.23,47.58,42.65
"Il1r2",0,0.04,0,0,0,0,0,3.02,4.01,107.53,0,0.36,0
"Gm16894",0,0.97,0.77,0.28,0,0.41,0,1.21,8.02,0,0,0,0
"Il1r1",0,0.13,0.26,1.53,22.7,8.38,15.46,0,0,0,0,2.49,0
"Il1rl2",0,0.01,0,0,1.1,0.95,1.72,1.21,2.01,0,0,1.07,0
