"Gene.names","HK2_01","HK2_02"
"chadl",0,0.04
"chaf1a",32.7,46.74
"chaf1b",11.7,12.27
"champ1",11.05,17.18
"chat",0,0.04
"chchd1",64.39,101.56
"chchd10",17.63,50.45
"chchd2",667.69,640.14
"chchd3",126.1,145.38
"chchd4",35.11,21.71
"chchd5",57.19,84.94
"chchd6",74.23,76.92
"chchd7",68.67,71.09
"chd1",6.21,7.16
"chd1l",45.18,42.25
"chd2",38.27,55.17
"chd3",8.53,7.69
"chd4",39.55,74.12
"chd5",0,0.01
"chd6",53.4,97.71
"chd7",39.72,43.24
"chd8",7.01,27.09
"chd9",51.9,76.52
"chdh",1.91,5.75
"chek1",22.94,30.59
"chek2",40.03,32.57
"cherp",17.91,15.91
"chfr",17.48,20.79
"chga",0,0.05
"chgb",1.47,3.19
"chic1",2.68,2.56
"chic2",18.7,14.71
"chid1",179.57,194.61
"chit1",0.02,0.03
"chka",19.98,21.33
"chkb",58.17,63.7
"chl1",0.29,0.48
"chm",10.38,12.55
"chml",6.23,7.26
"chmp1a",68.61,89.13
"chmp2a",223.96,248.95
"chmp2b",33.6,56.69
"chmp3",79.07,88.25
"chmp4b",2.57,12.33
"chmp4c",9.76,13.08
"chmp5",81.31,55.84
"chmp6",31.48,47.87
"chmp7",53.18,40.29
"chn1",2.42,7.27
"chn2",0.02,0.51
"chodl",0,0
"chordc1",21.12,19.52
"chp1",7.89,16.66
"chp2",0,0
"chpf",52.51,60.76
"chpf2",30.86,37.75
"chpt1",65.54,54.65
"chrac1",36.9,41.16
"chrd",0.1,0.24
"chrdl1",82.53,68.94
"chrdl2",0,0.5
"chrm1",0,0.08
"chrm2",0,0.01
"chrm3",1.62,6.19
"chrm4",1.55,3.62
"chrm5",0.11,0.04
"chrna1",0,0.07
"chrna10",0.14,0.25
"chrna2",0,0.1
"chrna3",0.32,0.42
"chrna4",0,0.1
"chrna5",8.34,8.51
"chrna6",0,0
"chrna7",0.65,1.46
"chrna9",0.16,0.11
"chrnb1",17.68,19.01
"chrnb2",0.22,0.37
"chrnb3",0,0
"chrnb4",0.14,0.03
"chrnd",0,0.01
"chrne",0.02,0.05
"chrng",0,0.02
"chst1",0,0.02
"chst10",6.62,11.01
"chst11",7.63,15.39
"chst12",13.64,25.4
"chst13",0,0.32
"chst14",2.41,2.81
"chst15",14.69,15.22
"chst2",0.15,0.19
"chst3",1.18,1.11
"chst4",0.08,0.14
"chst5",0,0.03
"chst7",7.04,8.07
"chst8",0,0
"chst9",0.58,0.9
"chsy1",3.37,2.29
"chsy3",0.15,0.87
"chtf18",38.44,22.83
"chtop",94.98,83.53
"chuk",21.75,13.1
"churc1",127.26,135.05
"ciao1",97.21,103.92
"ciao2a",149.94,107
"ciao2b",341.77,289.63
"ciapin1",80.98,90.28
"ciart",24.8,9.26
"cib1",188.56,208.49
"cib2",4.3,4.5
"cib3",0,0
"cib4",0.14,0.13
"cic",1.19,2.01
"cidea",0.18,0
"cideb",0.08,0.16
"cidec",0.04,0.49
"ciita",0.1,0.36
"cilp",0,0
"cilp2",0,0.06
"cinp",49.47,49.92
"cip2a",33.58,33.68
"cipc",4.24,5.53
"cir1",18.98,19.8
"cirbp",30.48,62.19
"cisd1",90.55,96.89
"cisd2",86.29,57.49
"cish",2.23,11.3
"cit",5.05,5.85
"cited1",0.14,0.07
"cited2",16.44,36.73
"cited4",14.29,55.18
"ciz1",57.34,59.65
"ckap2",67.5,50.66
"ckap2l",37.39,23.17
"ckap4",79.78,64.28
"ckap5",46.56,43.18
"ckb",2968.52,1494.08
"cklf",554.97,956.08
"ckm",0,0
"ckmt2",0,0.08
"cks1b",248.59,124.32
"cks2",1001.79,767.71
"clasp1",4.95,9.45
"clasp2",13.25,14.91
"clasrp",6.86,7.76
"clba1",7.56,8.74
"clca1",0,0
"clca2",0.06,0
"clcc1",16.7,15.82
"clcf1",7.34,7.15
"clcn1",0,0.01
"clcn2",4.93,5.95
"clcn3",19.31,15.76
"clcn4",3.11,3.82
"clcn5",0.97,1.64
"clcn6",3.02,8.44
"clcn7",20.9,42.67
"clcnka",0.06,0
"clcnkb",0.17,0
"cldn1",126.78,107.47
"cldn10",0.02,0
"cldn11",40.78,39.97
"cldn12",49.57,36.35
"cldn14",0,0.23
"cldn15",0.84,1.86
"cldn16",2.24,3.49
"cldn17",0,0
"cldn18",0.03,0.21
"cldn19",0,0.12
"cldn2",9.68,41.43
"cldn20",0,0
"cldn22",0,0
"cldn23",1,1.04
"cldn24",0,0.08
"cldn3",0.46,3.41
"cldn4",137.72,72.38
"cldn5",0,0.11
"cldn6",0,0
"cldn7",0,0.14
"cldn8",0,0
"cldn9",0.04,0.1
"cldnd1",240.45,177.17
"cldnd2",3.24,6.74
"clec10a",0,0.14
"clec11a",91.13,156.55
"clec12a",0,0
"clec12b",0,0
"clec14a",0,0
"clec16a",7.08,7.57
"clec18a",0.03,0.03
"clec1a",0,0
"clec1b",0,0
"clec2d",2.43,4.79
"clec2l",0,0.08
"clec3a",0,0
"clec3b",0.08,0.15
"clec4d",0.06,0.02
"clec4e",123.43,84.91
"clec4f",0,0.02
"clec4g",0,0
"clec5a",0,0
"clec7a",0,0.08
"clec9a",0,0.06
"clgn",3.61,2.27
"clhc1",7.9,7.9
"clic3",0.07,0.19
"clic4",179.37,91.93
"clic5",0,0.09
"clic6",0,0.02
"clint1",57.41,56.18
"clip1",28.04,45.62
"clip2",4.39,6.14
"clip3",1.01,2.22
"clip4",0.72,0.6
"clk1",55.28,49.21
"clk3",73.35,52.22
"clk4",8.38,9.59
"clmn",12.48,19.41
"clmp",29.63,24.57
"cln3",61.43,59.54
"cln5",19.08,14.45
"cln6",2.77,5.61
"cln8",7.94,15.63
"clnk",0,0
"clns1a",140.47,107.96
"clock",4.04,6.06
"clp1",18.25,21.71
"clpb",20.82,16.04
"clpp",155.96,158.75
"clps",0,0.14
"clpsl2",2.28,12.14
"clptm1",20.23,28.38
"clptm1l",177.03,180.92
"clpx",20.03,22.49
"clrn1",0,0.13
"clrn2",0,0.06
"clrn3",0,0.16
"clspn",9.33,10.23
"clstn1",32.71,34.08
"clstn2",0.2,0.66
"clstn3",5.77,6.37
"clta",202.29,270.45
"cltb",40.78,49
"cltc",182.25,113.81
"cltrn",1.49,0.68
"clu",795.84,2981.37
"cluap1",16.69,25.76
"cluh",16.4,22.72
"clvs1",0.12,0.32
"clvs2",0,0.03
"clybl",2.43,3.08
"cma1",0,0
"cmas",105.61,73.55
"cmbl",9.02,17.28
"cmc1",85.17,73.23
"cmc2",149.27,172.99
"cmc4",25.34,18.08
"cmip",0.21,0.73
"cmklr1",0.28,0
"cmpk1",128.16,76.1
"cmpk2",0.41,1.35
"cmss1",104.25,99.74
"cmtm3",71.58,134.25
"cmtm4",21.7,28.45
"cmtm5",0,0.02
"cmtm6",57.65,45.56
"cmtm7",50.39,61.54
"cmtm8",2.83,7.49
"cmtr1",18.13,23.24
"cmtr2",16.85,15.75
"cmya5",0.01,0.01
"cnbd1",0,0
"cnbd2",6.42,7.19
"cnbp",639.91,599.93
"cndp1",0.03,0.05
"cndp2",126.43,145.18
"cnep1r1",31.14,23.54
"cnfn",7.43,20.51
"cnga1",0.54,0.56
"cnga2",0,0
"cnga3",0.05,0.02
"cnga4",0,0
"cngb1",0.03,0.27
"cngb3",0,0
"cnih1",117.83,92.61
"cnih2",0,0.24
"cnih3",11.46,15.46
"cnih4",283.51,219.62
"cnksr1",0.17,1.41
"cnksr2",2.33,3.21
"cnksr3",17.13,13.71
"cnmd",0,0.03
"cnn1",1.82,5.57
"cnn2",195.88,244.79
"cnn3",362.62,207.69
"cnnm1",1.78,2.42
"cnnm2",2.85,4.22
"cnnm3",10.27,12.91
"cnnm4",3.98,3.19
"cnot1",104.14,85.82
"cnot10",32.75,36.19
"cnot11",83.6,58.54
"cnot4",15.07,15.54
"cnot6",4.21,5.3
"cnot6l",2.49,2.65
"cnot7",204.15,152.09
"cnot8",79.63,38.54
"cnot9",15.2,13.59
"cnp",53.65,70.01
"cnppd1",90.12,56.13
"cnpy1",0,0.02
"cnpy2",325.19,473.37
"cnpy3",125.21,148.03
"cnpy4",22.75,29.21
"cnr1",0.67,3.69
"cnr2",0,0.02
"cnrip1",7.86,3.29
"cnst",13.7,18.95
"cntd1",3.03,5.98
"cntf",0.04,0.07
"cntfr",0,0.1
"cntln",5.31,6.99
"cntn1",0.19,0.39
"cntn2",0,0.49
"cntn3",0,0.01
"cntn4",0.31,2.17
"cntn5",0,0.1
"cntn6",0.03,0.44
"cntnap1",0.96,0.8
"cntnap3",0.27,1.42
"cntnap4",0,0.03
"cntrl",3.57,5.57
"cntrob",15.67,12.86
"coa3",294.11,315.85
"coa4",71.59,85.86
"coa5",32.63,41.35
"coa6",79.62,77.11
"coa7",25.68,39.47
"coasy",183.83,182.29
"cobl",0,0.1
"cobll1",122.82,235.91
"coch",105.86,113.62
"cog1",20.81,29.19
"cog2",22.44,24.49
"cog3",11.64,10.93
"cog4",82.56,66.87
"cog5",18.72,24.57
"cog6",18.03,16.05
"cog7",10.03,10.37
"cog8",37.53,44.68
"coil",14.31,14.37
"col10a1",0.02,0.04
"col11a1",1.3,0.81
"col12a1",0.18,1.06
"col13a1",0,0.03
"col14a1",0.69,9.72
"col15a1",0.22,0.2
"col16a1",12.72,12.57
"col17a1",0.61,0.12
"col18a1",20.36,31.31
"col19a1",0,0.13
"col1a1",28.83,32.56
"col1a2",0,0.07
"col20a1",0,0.08
"col22a1",0.79,2.91
"col23a1",0,0
"col24a1",0.02,0.01
"col25a1",0.03,0
"col26a1",0,0.04
"col27a1",3.4,3.4
"col28a1",0,0.1
"col2a1",0.18,0.42
"col3a1",0,0.09
"col4a1",30.75,51.92
"col4a2",83.42,96.36
"col4a3",0.01,0.08
"col4a3bp",21.39,24.48
"col4a4",0.06,0.13
"col4a5",1.31,2.32
"col4a6",0,0
"col5a1",1.39,2.27
"col5a2",0.45,0.12
"col5a3",0,0.06
"col6a1",29.73,29.74
"col6a2",108,101.95
"col6a3",0.16,0.48
"col6a5",0,0.02
"col6a6",0.02,0.01
"col7a1",51.41,43
"col8a1",102.67,56.24
"col8a2",3.36,2.67
"col9a1",0.04,0.21
"col9a2",13.7,27.7
"col9a3",0.06,0.41
"colca2",0,0
"colec10",1.27,0.79
"colec11",0,0.1
"colec12",9.17,10.25
"colgalt1",66.63,58.82
"colgalt2",0.05,0.19
"colq",0.28,0.26
"commd1",26.55,35.23
"commd10",17.62,15.81
"commd2",57.33,71.09
"commd3",66.72,67.46
"commd4",107.14,165.58
"commd5",48.35,52.87
"commd6",132.19,201.15
"commd7",108.57,134.32
"commd8",73.72,55.74
"commd9",63.7,80.38
"comp",0,0.29
"comt",240.78,286.41
"comtd1",23.56,46.74
"cop1",75.02,68.6
"copa",168.75,155.24
"copb1",139.87,106.54
"copb2",274.67,268.17
"cope",345.02,469.34
"copg1",297.82,308.84
"copg2",4.88,5.64
"coprs",109.09,126.23
"cops2",17.67,17.3
"cops3",157.2,127.88
"cops4",66.96,54.15
"cops5",107.91,99.15
"cops6",420.77,392.97
"cops7a",101.3,90.98
"cops7b",50.41,42.35
"cops8",165.58,136.18
"cops9",233.52,298.23
"copz1",256.22,217.31
"copz2",78.05,67.76
"coq10a",24.48,24.94
"coq10b",59.21,35.69
"coq2",41.19,28.15
"coq3",40.61,33.45
"coq4",43.56,62.65
"coq5",75.13,68.07
"coq6",43.82,36.75
"coq7",16.7,17.22
"coq8a",21.37,20.85
"coq8b",14.93,20.34
"coq9",125.13,129.94
"corin",0.26,0.4
"coro1a",1.53,1
"coro1b",59.53,91.69
"coro1c",299.02,205.33
"coro2a",5.69,7.66
"coro2b",0.16,0.01
"coro6",6.52,7.65
"cort",0.15,0.23
"cotl1",376.03,295.27
"cox10",17.35,20.53
"cox11",58.48,75.89
"cox14",209.79,246.18
"cox15",33.14,26.86
"cox16",58.99,68.28
"cox17",106.35,98.69
"cox18",3.81,5.39
"cox19",8.21,8.78
"cox20",99.05,61.77
"cox4i1",811.51,889.26
"cox4i2",0,0.24
"cox5a",342.53,376.33
"cox5b",472.67,541.03
"cox6a1",794.4,777.9
"cox6a2",8.74,22.88
"cox6b1",552,726.67
"cox6b2",0.08,1.09
"cox6c",599.16,562.03
"cox7a1",0,0
"cox7a2",1510.92,1266.3
"cox7a2l",151.72,134.43
"cox7b",958.75,885.68
"cox7b2",0,0
"cox7c",602.49,766.03
"cox8a",440.04,459.3
"cox8c",0,0.11
"cp",0.57,0.09
"cpa1",0,0.02
"cpa2",0,0
"cpa3",0,0
"cpa4",18.38,10.66
"cpa5",0.61,0.71
"cpa6",0,0.07
"cpb1",0,0.03
"cpb2",0.05,0.14
"cpd",29.91,75.25
"cpe",57.59,87.03
"cpeb2",2.64,4.27
"cpeb3",0.22,0.31
"cpeb4",3.92,3.1
"cped1",0.86,0.57
"cplane1",2.37,3.23
"cplane2",1.45,2.58
"cplx1",0.02,0.12
"cplx2",0,0.01
"cplx3",0,0
"cplx4",0,0.07
"cpm",49.41,84.86
"cpn1",0,0.05
"cpn2",0,0.02
"cpne1",423.96,356.52
"cpne2",70.24,80.15
"cpne3",65.13,69.43
"cpne4",0.1,0.17
"cpne5",1.22,2.38
"cpne6",0,0.3
"cpne7",30.8,74.19
"cpne8",9.55,13.6
"cpne9",0.48,0.79
"cpox",28.54,21.74
"cpped1",17.96,28.17
"cpq",15.54,19.34
"cps1",8.58,9.28
"cpsf1",54.78,63.21
"cpsf2",15.42,26.91
"cpsf3",86.03,69.93
"cpsf4",30.06,38.4
"cpsf4l",0,0.04
"cpsf6",56.15,64.22
"cpsf7",10.95,13.53
"cpt1a",0.92,1.08
"cpt1b",7.03,7.23
"cpt1c",0,0.44
"cpt2",18.53,24.88
"cptp",20.61,30.44
"cpvl",0,0
"cpxcr1",0,0
"cpxm1",5.05,2.58
"cpxm2",0,0
"cpz",3.74,19.01
"cr1l",0,0.08
"cr2",0,0
"crabp1",0,0
"crabp2",57.31,43.25
"cracr2a",2.09,2.3
"cracr2b",31.59,30.94
"cradd",14.73,16.26
"crat",36.32,48.59
"crb1",0.19,0.6
"crb2",0.08,0.03
"crb3",16.35,31.79
"crbn",42.2,51.07
"crcp",21.94,43.12
"crct1",0,0
"creb1",62.74,49.17
"creb3",63.62,63.51
"creb3l1",22.64,22.09
"creb3l2",7.03,8.72
"creb3l3",0.01,0.05
"creb3l4",9.33,14.95
"creb5",33.11,29.21
"crebbp",1.19,3.24
"crebl2",14.08,10.73
"crebrf",7.78,9.41
"crebzf",19.78,24.09
"creg1",55.57,44.34
"creg2",9.12,16.97
"creld1",76.48,68.23
"creld2",71.96,85.2
"crem",28.01,21.9
"crh",0,0.03
"crhbp",0,0.07
"crhr2",0,0.07
"crim1",8.1,8.97
"crip1",117.54,309.95
"crip2",370.15,488.47
"crip3",0.07,0.1
"cript",13.45,11.62
"crisp1",0,0
"crisp2",0,0
"crisp3",0,0
"crispld1",2,5.25
"crispld2",14.31,50.5
"crk",65.81,64.63
"crkl",31.15,17.16
"crlf1",19.06,103.94
"crlf2",0.71,0
"crlf3",21.46,10.83
"crls1",118.61,97.52
"crmp1",0.84,2.51
"crnde",176.86,124.81
"crnkl1",17.83,10.41
"crnn",0,0
"crocc",5.29,6.89
"crocc2",0,0
"crot",7.28,6.33
"crp",0,0.04
"crppa",0.87,0.95
"crtac1",12.9,15.86
"crtam",0.1,0
"crtap",249.53,290.62
"crtc1",0.26,1.73
"crtc2",19.89,24.37
"crtc3",3.68,5.48
"crx",0,0.24
"cry1",19.75,21.54
"cry2",7.04,6.21
"cryaa",0,0
"cryab",262.34,287.43
"cryba1",0,0
"cryba2",0.39,0
"cryba4",0,0
"crybb1",0,0
"crybb2",0,0.11
"crybb3",0,0.06
"crybg1",1.28,0.38
"crybg2",0.75,0.66
"crybg3",3.6,4.82
"cryga",0,0
"crygb",0,0
"crygc",0,0
"crygd",0,0
"crygn",0,0.15
"crygs",0.73,0.89
"cryl1",17.84,22.46
"crym",172.53,119.25
"cryz",352.96,250.01
"cryzl1",31.58,22.99
"cs",135.68,112.26
"csad",1.85,1.45
"csdc2",8.1,14.58
"csde1",253.66,215.9
"cse1l",272.27,140.67
"csf1",19.77,36.61
"csf1r",8.74,3.72
"csf2",204.12,103.71
"csf2ra",0.13,0.73
"csf2rb",0.02,0.1
"csf3",0.47,0.2
"csf3r",0,0.17
"csgalnact1",1.92,3.09
"csgalnact2",9.78,5.85
"csk",3.46,4.88
"csmd1",0,0.05
"csmd2",0,0.25
"csmd3",0.02,0.04
"csn1s1",0,0
"csn2",0,0
"csn3",0,0
"csnk1a1",120.1,98.7
"csnk1d",125.81,154.22
"csnk1e",60.54,82.59
"csnk1g1",6.35,9.86
"csnk1g2",34.22,46.24
"csnk1g3",20.77,21.53
"csnk2a1",101.69,82.36
"csnk2a2",25.19,18.31
"csnka2ip",0,0
"cspg4",0.01,0.01
"cspg5",3.71,3.57
"cspp1",8.22,16.92
"csrnp1",7.68,7.47
"csrnp2",11.99,11.18
"csrnp3",2.35,3.81
"csrp1",132.39,124.5
"csrp2",182.41,147.45
"csrp3",0,0
"cst11",0,0
"cst3",620.17,1169.13
"cst6",0.07,0.07
"cst7",0,0
"cst8",0,0
"cst9",0,0
"cstb",53.57,90.15
"cstf1",56.41,51.61
"cstf2",56.56,43.85
"cstf2t",3.07,5.62
"cstf3",51.21,36.3
"cstl1",0,0
"ctag2",0,0
"ctbp1",80.97,53.72
"ctbp2",57.47,54.18
"ctbs",15.84,15.43
"ctc1",6.28,10.95
"ctcf",34.33,49.59
"ctcfl",0,0.09
"ctdnep1",39.19,27.05
"ctdp1",10.62,8.24
"ctdsp1",8.32,7.89
"ctdsp2",15.19,18.28
"ctdspl",30.03,53.45
"ctdspl2",16.84,15.69
"ctf1",0,0.05
"cth",9.35,21.18
"cthrc1",118.29,55.9
"ctif",1.12,2.03
"ctla4",0,0.06
"ctnna1",112.09,93.15
"ctnna2",0.1,0.09
"ctnna3",0,0.48
"ctnnal1",166.32,146.76
"ctnnb1",82.87,106.55
"ctnnbip1",3.22,6.79
"ctnnbl1",115.85,97.51
"ctnnd1",38.85,36.8
"ctnnd2",0,0
"ctns",9.86,15.91
"ctps2",16.29,12.9
"ctr9",18,12.43
"ctrb1",0,0
"ctrc",0,0.08
"ctrl",2.38,4.04
"ctsa",402.46,525.57
"ctsb",949.37,879.75
"ctsc",123.84,114.06
"ctsd",814.63,2041.35
"ctse",0.03,0
"ctsf",76.57,109.97
"ctsg",0,0
"ctsh",70.34,306
"ctsk",0.66,0.91
"ctsl",131.37,162.53
"ctss",13.96,5.28
"ctsw",1.94,0.84
"ctsz",21.91,38.22
"cttn",24.32,47.06
"cttnbp2",2.84,7.32
"cttnbp2nl",17.26,21.86
"ctu1",4.7,11.61
"ctu2",17.05,30.9
"ctxn1",4.91,14.91
"ctxn2",0.01,0.05
"ctxn3",0,0
"cubn",0.13,0.22
"cuedc1",9.91,18.85
"cuedc2",152.83,221.59
"cul1",89.51,74.72
"cul2",45.53,28.17
"cul3",76.2,45.17
"cul4a",62.81,39.81
"cul4b",14.32,12.65
"cul5",33.55,45.16
"cul7",13.29,11.7
"cul9",6.6,6.39
"cuta",311.25,439.17
"cutc",54.73,47.56
"cux1",26.66,52.6
"cux2",0,0.02
"cuzd1",1.25,0.48
"cwc15",47.4,49.45
"cwc22",26.96,22.06
"cwc27",27.8,22.68
"cwf19l1",35.32,35.36
"cwf19l2",3.28,3.65
"cwh43",0,0.25
"cx3cl1",4.43,10.19
"cx3cr1",0,0.01
"cxadr",0.67,2.39
"cxcl1",0,0
"cxcl10",0,0
"cxcl11",0,0
"cxcl12",0.08,0.1
"cxcl13",0,0.04
"cxcl14",0,0
"cxcl16",9.47,8.72
"cxcl17",0,0.14
"cxcl2",91.83,28.13
"cxcl3",5.27,1.46
"cxcl5",57.69,5.08
"cxcl9",0,0.06
"cxcr1",0,0.08
"cxcr2",0,0.42
"cxcr3",0,0.08
"cxcr4",0,0.07
"cxcr5",1.18,1.71
"cxcr6",0.13,0.33
"cxxc1",41.02,45.47
"cxxc4",0.09,0.25
"cxxc5",107.42,128.08
"cyb561",23.51,34.81
"cyb561a3",22.05,28.32
"cyb561d1",3.53,3.69
"cyb561d2",51.39,63.98
"cyb5a",143.16,177.61
"cyb5b",269.98,236.43
"cyb5d1",11.19,7.69
"cyb5d2",8.5,15.94
"cyb5r1",49.53,66.83
"cyb5r2",0,0.01
"cyb5r3",333.13,271.58
"cyb5r4",23.2,29.59
"cyb5rl",6.74,8.02
"cyba",1038.72,1429.96
"cybb",0,0.01
"cybc1",69.33,95.27
"cybrd1",50.21,44.77
"cyc1",373.06,394.37
"cycs",182.51,150
"cyfip1",63.98,51.55
"cyfip2",10.52,7.31
"cygb",0.05,0.48
"cyhr1",52,71.81
"cylc1",0,0
"cylc2",0,0.06
"cyld",15.47,17.18
"cyp11a1",0.09,0.1
"cyp11b1",0,0
"cyp11b2",0,0.04
"cyp17a1",0.16,0.37
"cyp19a1",0.08,0.05
"cyp1a1",0.18,0.62
"cyp1a2",0.01,0
"cyp1b1",35.09,86.82
"cyp20a1",14.5,16.58
"cyp24a1",7.85,32.61
"cyp26a1",1.67,1.3
"cyp26b1",0.01,0.02
"cyp26c1",1.18,1.92
"cyp27a1",1.16,8.93
"cyp27b1",1.61,0.8
"cyp2e1",0.68,0.28
"cyp2r1",10.49,9.97
"cyp2s1",6,7.99
"cyp2u1",4.68,6.77
"cyp2w1",0,0.06
"cyp39a1",0.02,0.04
"cyp46a1",0.01,0.4
"cyp4b1",0,0.14
"cyp4x1",0,0.02
"cyp7a1",0,0
"cyp7b1",0,0.4
"cyp8b1",0,0
"cyren",144.33,105.92
"cys1",16.34,50.16
"cysltr1",0,0.02
"cysltr2",0,0
"cysrt1",0.35,0.39
"cystm1",142.65,178.76
"cyth1",12.01,19.85
"cyth2",37.43,51.77
"cyth3",3.41,4.74
"cyth4",0.29,0.35
"cytip",0,0
"cytl1",0.43,2.15
"cyyr1",2.84,4.9
"czib",68.43,67.32
"d2hgdh",4.02,7.25
"daam1",3.1,7.87
"daam2",0,0.06
"dab1",0,0.01
"dab2",12.36,10.85
"dab2ip",0.48,1.66
"dach1",0.01,0.1
"dach2",0,0
"dact1",1.83,0.38
"dact2",0,0.2
"dact3",0.57,1.01
"dad1",435.23,485.63
"dag1",8.84,9.22
"dagla",0.53,0.74
"daglb",10.47,20.26
"dalrd3",78.8,89.38
"dancr",36.2,33.96
"dand5",0.46,0.69
"dao",0,0.02
"dap",67.82,64.13
"dap3",151.69,110.47
"dapk1",29.69,31.92
"dapk2",0.73,3.97
"dapk3",57.5,84.41
"dapl1",0,0
"dapp1",0.25,0
"dars",174.51,101.45
"dars2",49.2,38.05
"daw1",10.11,1.5
"dazap1",5,7.95
"dazap2",609.78,506.43
"dazl",0,0
"dbf4",32.01,30.92
"dbh",0,0.02
"dbi",834.42,1627.73
"dbn1",58.81,86.14
"dbndd1",12.14,19.62
"dbndd2",30.04,48.65
"dbnl",110.06,125.25
"dbp",19.97,43.38
"dbr1",18.19,17.96
"dbt",5.24,7.12
"dbx1",0,0
"dbx2",0,0.06
"dcaf1",14.45,10.57
"dcaf10",15.1,12.91
"dcaf11",31.33,36.93
"dcaf12",19.84,21.16
"dcaf12l1",14.35,10.25
"dcaf12l2",5.25,7.98
"dcaf13",153.4,108.23
"dcaf15",6.71,8.73
"dcaf17",3.69,5.46
"dcaf4",20.39,25.17
"dcaf5",32.81,34.74
"dcaf6",81.6,58.24
"dcaf7",49.18,54.17
"dcaf8",35.22,39.27
"dcakd",10.41,15.16
"dcbld1",9.23,7.38
"dcbld2",324.14,210.41
"dcc",0,0.09
"dcdc2b",0.04,0.2
"dcdc2c",0,0
"dchs1",0.03,0.05
"dchs2",0.36,0.15
"dck",30.38,22.17
"dclk1",0.43,0.47
"dclk2",0.25,0.19
"dclk3",0,0.03
"dclre1a",11.66,9.83
"dclre1b",17.86,16.11
"dclre1c",11.65,11.95
"dcn",414.86,262.69
"dcp1a",57.68,43.1
"dcp1b",18.88,20.38
"dcp2",16.07,27.45
"dcps",30.25,26.44
"dcst1",0.06,0.02
"dcstamp",0,0.04
"dct",0,0
"dctd",113.77,108.02
"dctn1",95.44,99.13
"dctn2",191.92,207.76
"dctn3",91.67,84.36
"dctn4",15.41,13.64
"dctn5",33.69,38.93
"dctn6",51.18,47.44
"dctpp1",105.15,99.24
"dcun1d1",24.76,30.15
"dcun1d2",10.03,9.24
"dcun1d3",0.96,1.44
"dcun1d4",31.17,34.35
"dcun1d5",57.05,48.87
"dcx",0,0.03
"dcxr",106.01,129.41
"dda1",31.54,49.2
"ddah1",6.7,6.04
"ddb1",95.85,90.02
"ddb2",23.87,36.76
"ddc",0,0.3
"ddhd1",4.68,4.32
"ddhd2",21.43,12.49
"ddi1",0,0
"ddi2",5.2,6.56
"ddias",14.87,7.64
"ddit3",120.4,150.43
"ddit4",1042.74,554.63
"ddit4l",2.06,0.52
"ddn",0.03,0.12
"ddo",2.9,3.12
"ddost",563.47,462.46
"ddr2",0.12,0.43
"ddrgk1",52.48,86.79
"ddx1",156.79,121.75
"ddx10",12.96,13.95
"ddx11",20.21,27.12
"ddx17",9.76,49.18
"ddx18",48.3,37.24
"ddx19a",34.55,33
"ddx19b",40.54,51.51
"ddx20",16.4,15.04
"ddx21",27.96,18.26
"ddx23",49.58,56.77
"ddx24",126.53,122.19
"ddx25",0.97,3.9
"ddx27",42.5,50.21
"ddx28",24.52,45.54
"ddx31",8.75,13.35
"ddx3x",126.71,112.3
"ddx3y",21.47,12.27
"ddx4",0,0.1
"ddx41",126.77,76.4
"ddx42",12.7,13.43
"ddx43",0,0
"ddx46",19.36,23.31
"ddx47",125.93,101.1
"ddx49",37.04,47.39
"ddx5",525.63,565.88
"ddx50",63.3,23.37
"ddx51",15.56,20.09
"ddx54",36,36.42
"ddx55",37.12,36.81
"ddx56",92.6,120.26
"ddx58",3.58,7.74
"ddx59",16.17,17.98
"ddx6",14.12,29.26
"ddx60",2.41,2.93
"decr1",80.35,90.26
"decr2",6.43,11.72
"dedd",31.63,33.87
"dedd2",44.24,42.33
"def6",0.08,0.02
"def8",95.21,94.79
"defa3",0,0
"defa5",0,0
"defb1",7.96,44.76
"degs1",265.93,205.15
"degs2",0,0.01
"dek",150.68,178.49
"dele1",15.98,20.91
"dennd1a",24.28,22.1
"dennd1b",3.12,3.57
"dennd1c",0.69,1.36
"dennd2a",0.96,0.88
"dennd2c",0.48,1.14
"dennd2d",21.56,19.17
"dennd3",15.73,18.74
"dennd4a",1.83,2.06
"dennd4b",15.04,12.47
"dennd4c",13.94,8.74
"dennd5a",51.77,28.06
"dennd5b",13.15,12.5
"dennd6a",2.09,9.69
"dennd6b",3.25,6.36
"denr",93.92,59.39
"depdc1b",23.81,18.34
"depdc5",9.58,10.17
"depdc7",5.9,4.4
"depp1",139.13,11.79
"deptor",0.7,13.29
"dera",145.85,101.27
"derl1",64.13,56.99
"derl2",121.2,112.14
"des",0.3,0.07
"desi1",23.49,14.83
"desi2",43.74,56.47
"det1",2.79,1.5
"deup1",0,0
"dexi",19.68,24.9
"dffa",71.92,111.65
"dffb",2.61,4.4
"dgat1",33.29,43.98
"dgat2",22.48,22.85
"dgat2l6",0,0
"dgcr2",32.91,37.23
"dgcr6",0.43,0.27
"dgcr8",4.65,4.2
"dgka",20.42,19.66
"dgkb",0,0.02
"dgkd",9.65,13.76
"dgke",3.24,4.48
"dgkg",7.33,8.52
"dgkh",4.56,6.3
"dgki",2.5,1.16
"dgkk",0,0
"dgkq",8.15,8.08
"dgkz",4.07,5.41
"dglucy",28.25,43.35
"dguok",187.18,175.99
"dhcr24",355.3,214.69
