"Gene.names","HK2_01","HK2_02"
"adam29",0,0.03
"adam30",0,0.06
"adam32",0.13,0.08
"adam33",0,0.09
"adam5",0,0.04
"adam7",0,0.23
"adam8",1.19,1.54
"adam9",14.98,6.27
"adamdec1",0,0
"adamts1",35.93,15.19
"adamts10",1.12,0.85
"adamts12",7.75,15.75
"adamts13",0.8,0.69
"adamts14",0.02,0.48
"adamts15",0.01,0.45
"adamts16",1.66,1.08
"adamts17",0.11,0.53
"adamts18",0.24,0.29
"adamts19",0,0.02
"adamts2",0.27,1.06
"adamts20",0,0.03
"adamts3",1.29,2.31
"adamts4",0.01,0.03
"adamts5",0.02,0
"adamts6",0.44,0.1
"adamts7",0.17,0.34
"adamts8",0,0.05
"adamts9",17.38,10.6
"adamtsl1",0,0.08
"adamtsl2",0,0
"adamtsl3",3.52,5.25
"adamtsl4",1.82,1.65
"adamtsl5",5.75,9.92
"adap1",0.57,0.39
"adap2",7.98,5.84
"adar",42.39,42.6
"adarb1",3.43,2.67
"adarb2",0,0.03
"adat1",16.2,20.95
"adat2",5.32,6.38
"adck1",2.45,6.68
"adck2",22.85,29.61
"adck5",14.32,23.08
"adcy1",0,0.08
"adcy10",0.23,0.02
"adcy2",0,0.03
"adcy3",23.5,21.96
"adcy4",0,0.06
"adcy5",0.02,0.2
"adcy6",4.73,5.22
"adcy7",9.95,7.24
"adcy8",4.93,2.72
"adcy9",0.56,0.57
"adcyap1",0,0
"adcyap1r1",0,0.11
"add1",121.36,117.73
"add2",3.13,3.52
"add3",146.73,81.81
"adgb",0,0
"adgra1",0,0.02
"adgra2",0.59,0.33
"adgra3",18.96,13.28
"adgrb1",0.07,0.32
"adgrb2",4.21,5.36
"adgrb3",0.29,0.39
"adgrd1",0.05,0.37
"adgre1",0,0.05
"adgre5",27.88,19.94
"adgrf1",0,0.01
"adgrf2",0,0.36
"adgrf3",0.34,0.37
"adgrf4",1.06,1.67
"adgrf5",0,0.11
"adgrg1",20.43,52.17
"adgrg2",0.02,0.38
"adgrg3",0.16,0.96
"adgrg4",0,0
"adgrg5",0,0.08
"adgrg6",2.83,6.96
"adgrg7",0,0.02
"adgrl1",1.13,2.06
"adgrl2",2.01,2.64
"adgrl3",0,0.03
"adgrl4",0,0.02
"adgrv1",4.18,1.32
"adh4",0,0
"adh5",238.38,243.78
"adh7",0,0
"adhfe1",0.4,0.67
"adig",0,0
"adipoq",0,0
"adipor1",255.55,191.37
"adipor2",2.8,3.34
"adk",80.25,70.27
"adm",98.47,16.53
"adm2",0,0.29
"adnp",12.21,15.59
"adnp2",5.88,6.94
"ado",4.36,5.11
"adora1",19.63,21.16
"adora2a",9.33,3.38
"adora2b",33.04,12.11
"adora3",0,0.09
"adpgk",49.1,51.82
"adprh",6.74,6.17
"adprhl1",0.29,0.05
"adprhl2",106.94,85.15
"adprm",10.85,9.75
"adra1a",0,0.07
"adra1b",1.53,1.13
"adra1d",0.01,0.1
"adra2a",0,0.03
"adra2b",0,0.02
"adra2c",0.05,0.27
"adrb1",0.77,0.31
"adrb2",6.32,20.15
"adrb3",0,0
"adrm1",214.8,234.38
"adsl",139.84,134.95
"adss",32.07,32.01
"adssl1",8.17,11.49
"adtrp",2.99,5.71
"aebp1",0,0.2
"aebp2",5.18,7.22
"aen",12.63,12.25
"afap1",1.34,2.34
"afap1l1",21.2,11.21
"afap1l2",43.75,38.77
"afdn",26.93,51.49
"aff1",7.78,78.15
"aff2",0,0
"aff3",3.8,7.71
"aff4",11.83,30.75
"afg1l",4.53,5.91
"afg3l2",25.62,23.9
"afm",0,0.02
"afmid",11.76,15.48
"afp",2.86,1.45
"aftph",5.94,6.63
"aga",30.04,26.6
"agap1",4.58,7.67
"agap2",0.03,0.11
"agap3",39.47,47
"agbl1",0,0
"agbl2",1.31,2.78
"agbl3",2.52,2.94
"agbl4",0,0.14
"agbl5",71.26,59.06
"agfg1",85.27,64.01
"agfg2",2.08,3.04
"aggf1",14.49,30.63
"agl",3.8,3.34
"agmat",2.68,6.56
"agmo",0,0
"ago1",2.39,2.35
"ago2",7.24,11.92
"ago3",8.4,9.41
"ago4",1.34,1.79
"agpat2",109.08,111.94
"agpat3",9.61,14.97
"agpat4",21.49,36.79
