"Gene.names","X3d_wt_24h_1","X3d_wt_24h_2","X3d_wt_24h_3","X3d_wt_24h_4","X3d_wt_72h_1","X3d_wt_72h_2","X3d_wt_72h_3","X3d_wt_72h_4","X3d_wt_7d_1","X3d_wt_7d_2","X3d_wt_7d_3","X3d_wt_7d_4"
"RPL9-PS4",13.4759902856242,13.7209700257327,16.2812824688782,17.1764499811146,8.25647734210362,13.0501376056649,7.76409360224775,10.3811924308624,9.64064476361754,10.1749473354533,13.0866658204118,6.51805178248216
"GM21718",0,0,0,0,0,0,0,0,0,0,0,0
"FBXW25",0,0,0,0,0,0,0,0,0,0,0,0
"IGKV4-51",0,0,0,0,0,0,0,0,0,0,0,0
"PATE3",0,0.313407264178454,0,0.643674348177427,0,0,0,0.338701221235315,0.338031022567235,0,0,0
"GM17412",0,0,0,0,0,0,0,0,0,0,0,0
"OR6C66",0,0,0,0,0,0,0,0,0,0,0,0
"GM25173",0,0,0,0,0,0,0,0,0,0,0,0
"ASTX6",0,0,0,0,0,0,0,0,0,0,0,0
"IGKV12-41",0,0,0,0,0,0,0,0,0,0,0,0
"ASTX1C",0,0,0,0,0,0,0,0,0,0,0,0
"GM20838",0,0,0,0,0,0,0,0,0,0,0,0
"GM16434",0,0,0,0,0,0,0,0,0,0,0,0
"RPS12-PS15",0,0,0,0,0,0,0,0,0,0,0,0
"GM20765",0,0,0,0,0,0,0,0,0,0,0,0
"GM5458",0,0,0,0,0,0,0,0,0,0,0,0
"GM3336",4.04583145928172,5.01451622685526,8.39407781461098,6.43674348177426,4.68762907386655,5.54215186850622,2.61747782629507,2.70960976988252,6.7606204513447,7.95176607134091,11.2292818959934,6.754457805681
"SIRPB1B",0,0,0,0,0,0,0,0,0,0,0,0
"GM36079",0,0,0,0,0,0,0,0,0,0,0,0
"OR10G3B",0,0,0,0,0,0,0,0,0,0,0,0
"GM21310",0,0,0,0,0,0,0,0,0,0,0,0
"GM17577",0,0,0,0,0,0,0,0,0,0,0,0
