"Gene.names","POD","PE","PT_S1_f","PT_S1_m","PT_S2_f","PT_S2_m","PT_S3_f","PT_S3_m","DTL_OM_cortex","DTL_OM_juxtmed","DTL_IM_upper","DTL_IM_lower","LOH_IM_1","LOH_IM_2","ATL_IM","TAL_OM_inner_stripe","TAL_OM_outer_stripe_cort","MD","DCT","CNT","PC_CNT","IC_non_A_B","ICA_CCD","PC_CCD","ICB_CCD","ICA_OMCD","PC_OMCD","ICA_IMCD","PC_IMCD_1","PC_IMCD_2","PC_deep_IMCD_1","Deep_IMCD_2","Pelvic_epithelium","Vascular","VSMC","Fibroblast","Macrophages","T_lymphocytes","B_lymphocytes","NK_myeloid"
"Xkr4",0,6.88471002289855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58649607816445,0,0,0,0,0,0,0
"Gm1992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm37381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3836434759154,0,0,0,0,0,0,0,0,0,0,0,0.34298040021354,0,0,0,0,0,0
"Rp1",0,6.88471002289855,1.33149001855165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.764128248556,80.5543752101966,0,205.3024011049,0,0,0,0,0,0,0,0,4.11576480256247,0,0,0,0,0,1.72677602799726
"Rp1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sox17",0,0,9.32043012986155,17.4990041475821,6.65864300184944,14.5418516915324,9.23123221256943,0,24.6414666600956,20.30436239226,0,4.86216609985965,0,3.50717278209462,0,9.88394925712237,26.4501690937268,0,6.33708943185775,20.0017201479327,0,6.84591086897885,0,0,0,0,7.93901565732668,7.19717525265684,6.16766076508907,4.01447378378004,0,6.634471786577,9.58649607816445,531.619620330986,20.0117669189483,37.7180575200377,24.5948629288503,35.4614150675046,23.5443250171638,43.1694006999314
"Gm37323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29464975237412,2.20418075781057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7149020010677,0,0,0,0,0,0
"Mrpl15",819.396760105211,654.047452175362,652.430109090309,607.692689488762,565.984655157202,571.979499866942,420.021065671909,698.070533046659,862.451333103346,771.565770905879,632.698357261985,651.530257381194,480.905943161099,612.001650475511,451.740896479809,642.456701712954,641.416600522876,990.75548916647,928.383601767161,566.715404191427,642.390245155883,705.128819504822,845.820939707064,597.808735365182,671.898767252401,531.702778147016,627.182236928808,683.7316490024,633.727143612902,727.623373310132,620.72929740246,484.316440420121,623.122245080689,704.48174203861,747.105964974071,603.488920320603,481.046583755455,833.343254086358,819.342510597301,699.344291338889
"Lypla1",655.517408084168,784.856942610434,1218.31336697476,1399.92033180657,1365.02181537913,2384.86367741132,3217.08442608045,3397.27659416041,1010.30013306392,730.957046121359,911.085634457259,751.204662428316,439.088035060134,547.118954006761,376.450747066508,705.055047008063,760.442361444647,1066.96744987158,963.237593642378,706.727445226956,523.795122973259,800.971571670526,684.712189286671,722.625943848023,933.192732295001,797.554167220524,702.602885673411,424.633339906753,621.391822082723,660.380937431817,484.679040437538,623.640347938238,929.890119581952,848.87649052851,630.370657946873,452.616690240453,366.029430647008,582.580390394719,640.405640466856,476.590183727243
"Gm37988",0,0,2.6629800371033,1.5908185588711,3.32932150092472,1.61576129905916,4.61561610628472,0,24.6414666600956,40.6087247845199,0,4.86216609985965,0,7.01434556418924,0,3.29464975237412,2.20418075781057,0,3.16854471592888,0,9.88292684855205,13.6918217379577,0,0,0,0,0,14.3943505053137,4.6257455738168,5.01809222972505,0,13.268943573154,0,3.4298040021354,0,0,0,2.53295821910747,0,0
"Tcea1",1311.03481616834,1101.55360366377,512.623657142385,413.612825306487,469.434331630385,407.171847362908,401.55860124677,325.766248755108,1527.77093292593,771.565770905879,1569.09192600972,1509.70257400642,731.81339176689,1115.28094470609,1430.51283885273,579.858356417846,614.966431429149,1219.39137128181,671.731479776922,493.375763649007,701.687806247196,705.128819504822,724.989376891769,854.012479093118,634.571057960601,736.203846665099,901.078277106578,1007.60453537196,1062.37956678659,1145.12864682326,1079.89891465907,1154.3980908644,1159.9660254579,1148.29837991493,1204.04130962339,1395.5681282414,627.169004685683,1041.04582805317,1092.4566807964,809.857957130713
"Rgs20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50314106030768,0,0,0.34298040021354,0,0,0,0,0,0
"Gm16041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
